yid	author	study	n	sid	nRefHom	nNonRefHom	nHets	avgDepth	nMissing
dn17b	cornell2017	hapmap3	598	dn17b#150-4	51681254	2256740	350073	2.2	49491
dn17b	cornell2017	hapmap3	598	dn17b#1614	55189315	1641208	278137	2.3	35847
dn17b	cornell2017	hapmap3	598	dn17b#17564	73452502	3734778	898038	3.3	65469
dn17b	cornell2017	hapmap3	598	dn17b#1538	61567612	2281864	405243	2.4	47461
dn17b	cornell2017	hapmap3	598	dn17b#1610	31585633	727608	85729	1.6	18413
dn17b	cornell2017	hapmap3	598	dn17b#196	24118394	770087	73304	1.5	15461
dn17b	cornell2017	hapmap3	598	dn17b#200-24-13413	71568782	2780168	668896	2.7	68277
dn17b	cornell2017	hapmap3	598	dn17b#18-599	23062690	719578	79198	1.8	12049
dn17b	cornell2017	hapmap3	598	dn17b#18	37415990	1083791	303169	3	20997
dn17b	cornell2017	hapmap3	598	dn17b#LP1	15930063	229113	20129	1.2	3382
dn17b	cornell2017	hapmap3	598	dn17b#2005-4	23592879	584917	53702	1.4	10803
dn17b	cornell2017	hapmap3	598	dn17b#743	19114916	133493	20015	1.3	2738
dn17b	cornell2017	hapmap3	598	dn17b#72-125	48422844	2433029	475169	2.6	43541
dn17b	cornell2017	hapmap3	598	dn17b#7236	27914118	730409	72879	1.5	14520
dn17b	cornell2017	hapmap3	598	dn17b#LH128	56582216	2752690	617400	2.6	49788
dn17b	cornell2017	hapmap3	598	dn17b#740	16152113	398097	34249	1.3	5600
dn17b	cornell2017	hapmap3	598	dn17b#M1016	18917236	422392	35212	1.4	7985
dn17b	cornell2017	hapmap3	598	dn17b#M9	26367966	853797	108716	1.6	19919
dn17b	cornell2017	hapmap3	598	dn17b#91huang15	22064556	539456	53541	1.4	10111
dn17b	cornell2017	hapmap3	598	dn17b#91huang5	58746140	1827725	566930	2.3	50425
dn17b	cornell2017	hapmap3	598	dn17b#926	35809187	1279919	124781	1.7	29241
dn17b	cornell2017	hapmap3	598	dn17b#928	37551612	1380407	153336	1.7	29817
dn17b	cornell2017	hapmap3	598	dn17b#92huang40	41141422	1629798	394254	2.9	26919
dn17b	cornell2017	hapmap3	598	dn17b#953	38288558	1014823	124854	1.7	20158
dn17b	cornell2017	hapmap3	598	dn17b#LH123HT	15414793	271582	24432	1.2	6412
dn17b	cornell2017	hapmap3	598	dn17b#D978	22983187	489891	49958	1.4	9886
dn17b	cornell2017	hapmap3	598	dn17b#GN4095	50605242	1887595	280583	2	46989
dn17b	cornell2017	hapmap3	598	dn17b#Feb-48	48395302	2147001	314739	2.1	47131
dn17b	cornell2017	hapmap3	598	dn17b#FR14	53194812	1385080	246935	2.4	30354
dn17b	cornell2017	hapmap3	598	dn17b#D892	27713649	770207	74963	1.5	15205
dn17b	cornell2017	hapmap3	598	dn17b#FBHJ	17623923	295954	21847	1.3	7821
dn17b	cornell2017	hapmap3	598	dn17b#FAP1360A	19895090	515513	53015	1.5	9704
dn17b	cornell2017	hapmap3	598	dn17b#F939	69533641	3034134	764795	3.1	52575
dn17b	cornell2017	hapmap3	598	dn17b#F7	81535201	4437209	965457	3.3	90473
dn17b	cornell2017	hapmap3	598	dn17b#F7584	26802855	684022	60102	1.4	13925
dn17b	cornell2017	hapmap3	598	dn17b#DF24	46695658	187629	92882	1.9	5034
dn17b	cornell2017	hapmap3	598	dn17b#LH146HT	4465476	20295	1057	0.9	251
dn17b	cornell2017	hapmap3	598	dn17b#DF20	70010311	772334	273515	3.3	13073
dn17b	cornell2017	hapmap3	598	dn17b#DF32	20082662	508696	35128	1.3	8696
dn17b	cornell2017	hapmap3	598	dn17b#LH143	53651825	1718462	320183	2.3	40568
dn17b	cornell2017	hapmap3	598	dn17b#4N506	23547424	189263	31628	1.4	3725
dn17b	cornell2017	hapmap3	598	dn17b#DF27	61159258	2864252	659685	3	53588
dn17b	cornell2017	hapmap3	598	dn17b#DH138	20556615	517366	44311	1.4	7980
dn17b	cornell2017	hapmap3	598	dn17b#68202	65038864	2212236	541664	2.8	45421
dn17b	cornell2017	hapmap3	598	dn17b#75-24	34313022	1509881	234208	2.1	28701
dn17b	cornell2017	hapmap3	598	dn17b#9101-7	26002326	498612	66026	1.4	9906
dn17b	cornell2017	hapmap3	598	dn17b#8982	50161495	1924340	270384	2.1	48599
dn17b	cornell2017	hapmap3	598	dn17b#897	52422732	2325380	581643	2.3	51075
dn17b	cornell2017	hapmap3	598	dn17b#8701	28814982	811695	88964	1.6	16532
dn17b	cornell2017	hapmap3	598	dn17b#87001	42900616	1770442	226409	1.9	38331
dn17b	cornell2017	hapmap3	598	dn17b#La2-4	91329565	1781097	673827	2.9	46954
dn17b	cornell2017	hapmap3	598	dn17b#LP5	78301589	879549	295789	2.9	16638
dn17b	cornell2017	hapmap3	598	dn17b#LH150	49550795	2160876	519742	2.8	39394
dn17b	cornell2017	hapmap3	598	dn17b#LM-2	19087912	494676	38005	1.3	8646
dn17b	cornell2017	hapmap3	598	dn17b#91huang10	51660039	2177715	368848	2.3	48808
dn17b	cornell2017	hapmap3	598	dn17b#D886	21132503	555719	46511	1.4	10295
dn17b	cornell2017	hapmap3	598	dn17b#D88	34554715	1167157	132753	1.7	24799
dn17b	cornell2017	hapmap3	598	dn17b#D857	65252253	2855719	769779	3.3	48426
dn17b	cornell2017	hapmap3	598	dn17b#D864	63484319	2723175	480796	2.5	60374
dn17b	cornell2017	hapmap3	598	dn17b#D854	21356479	498548	69204	1.6	8623
dn17b	cornell2017	hapmap3	598	dn17b#D856	39555488	1645595	197089	1.9	38074
dn17b	cornell2017	hapmap3	598	dn17b#D881	25631503	537015	66244	1.5	10210
dn17b	cornell2017	hapmap3	598	dn17b#D883	47579053	2060100	280776	2	46620
dn17b	cornell2017	hapmap3	598	dn17b#D869	22670881	375366	84895	1.4	8460
dn17b	cornell2017	hapmap3	598	dn17b#Los-6	46835384	805752	147176	1.9	20664
dn17b	cornell2017	hapmap3	598	dn17b#LIBC4	38436391	1663586	274488	2	35615
dn17b	cornell2017	hapmap3	598	dn17b#764	45555412	628764	165065	2.6	12728
dn17b	cornell2017	hapmap3	598	dn17b#78551S	43200828	1363475	259327	2.3	25435
dn17b	cornell2017	hapmap3	598	dn17b#84-126-15-1	60352362	2661338	702555	3.2	45827
dn17b	cornell2017	hapmap3	598	dn17b#83IBI3	27236303	994457	135897	1.7	14376
dn17b	cornell2017	hapmap3	598	dn17b#85bai64	68073200	2990256	912610	3.1	56219
dn17b	cornell2017	hapmap3	598	dn17b#LH208	49784612	958984	321344	2.4	16198
dn17b	cornell2017	hapmap3	598	dn17b#DH65232-DH9	47357973	2442106	414245	2.2	45460
dn17b	cornell2017	hapmap3	598	dn17b#DH40	58282840	2668776	629343	2.9	49517
dn17b	cornell2017	hapmap3	598	dn17b#D729	53072690	2523797	727954	3.4	45525
dn17b	cornell2017	hapmap3	598	dn17b#D801	52072917	1730425	423360	2.8	29080
dn17b	cornell2017	hapmap3	598	dn17b#D1049	41029270	1203527	146120	1.8	27921
dn17b	cornell2017	hapmap3	598	dn17b#D1051	27064310	877273	81089	1.5	15880
dn17b	cornell2017	hapmap3	598	dn17b#Cwu215B	46630801	1693563	267522	2.2	32431
dn17b	cornell2017	hapmap3	598	dn17b#D33A	32332647	1064251	111096	1.6	21845
dn17b	cornell2017	hapmap3	598	dn17b#D619	23101600	617288	52626	1.4	11392
dn17b	cornell2017	hapmap3	598	dn17b#D1139	76256637	2705999	540994	2.8	67717
dn17b	cornell2017	hapmap3	598	dn17b#D23	43287100	1663176	218094	1.9	37610
dn17b	cornell2017	hapmap3	598	dn17b#M3	68396475	2799817	624295	2.8	54002
dn17b	cornell2017	hapmap3	598	dn17b#Lo1125	16063790	353774	30813	1.3	5550
dn17b	cornell2017	hapmap3	598	dn17b#697	21410672	336478	137433	1.9	6099
dn17b	cornell2017	hapmap3	598	dn17b#M22	28683220	601571	58649	1.4	11262
dn17b	cornell2017	hapmap3	598	dn17b#5023	61200496	2926513	621193	2.8	53208
dn17b	cornell2017	hapmap3	598	dn17b#4936	39927615	1579336	204693	1.9	32789
dn17b	cornell2017	hapmap3	598	dn17b#4722	29192106	762218	63289	1.5	15263
dn17b	cornell2017	hapmap3	598	dn17b#M3736	56971681	2631292	442334	2.3	53706
dn17b	cornell2017	hapmap3	598	dn17b#444	53244620	2336557	532576	2.8	42915
dn17b	cornell2017	hapmap3	598	dn17b#441950	26535641	745708	69923	1.5	13522
dn17b	cornell2017	hapmap3	598	dn17b#468-3	19205392	308028	29609	1.3	6275
dn17b	cornell2017	hapmap3	598	dn17b#795	36021508	548371	108661	1.9	12836
dn17b	cornell2017	hapmap3	598	dn17b#79131	32609273	706847	202503	1.6	17386
dn17b	cornell2017	hapmap3	598	dn17b#802	46858514	1903634	272467	2.1	44428
dn17b	cornell2017	hapmap3	598	dn17b#806A	21146034	392421	32980	1.3	7176
dn17b	cornell2017	hapmap3	598	dn17b#82huangzao4	29298735	471178	72288	1.5	9656
dn17b	cornell2017	hapmap3	598	dn17b#811A	18946167	438409	32219	1.3	7877
dn17b	cornell2017	hapmap3	598	dn17b#832	44623962	895522	378924	3.6	15157
dn17b	cornell2017	hapmap3	598	dn17b#Lp215D	27487954	791664	100739	1.6	13922
dn17b	cornell2017	hapmap3	598	dn17b#CML58	61897054	3350153	683337	2.8	62154
dn17b	cornell2017	hapmap3	598	dn17b#CML125-2pianma	40407405	1812358	367955	2	35593
dn17b	cornell2017	hapmap3	598	dn17b#CT109	27794786	950172	103182	1.6	18152
dn17b	cornell2017	hapmap3	598	dn17b#CN104	21844850	544001	41536	1.4	9160
dn17b	cornell2017	hapmap3	598	dn17b#CT52C	104660757	4436112	1210698	4.2	97440
dn17b	cornell2017	hapmap3	598	dn17b#Co109	21778723	594701	71871	1.6	10561
dn17b	cornell2017	hapmap3	598	dn17b#1101	27304610	749375	66056	1.5	16305
dn17b	cornell2017	hapmap3	598	dn17b#1121	33862373	1263419	136132	1.7	23710
dn17b	cornell2017	hapmap3	598	dn17b#030-1	54936055	1441325	655222	2.2	40874
dn17b	cornell2017	hapmap3	598	dn17b#23590	33570408	1145608	128324	1.7	24344
dn17b	cornell2017	hapmap3	598	dn17b#L061M	26927773	754793	72240	1.5	14228
dn17b	cornell2017	hapmap3	598	dn17b#L069	50920548	2375572	432670	2.4	45703
dn17b	cornell2017	hapmap3	598	dn17b#1127	23969092	605292	66510	1.5	13424
dn17b	cornell2017	hapmap3	598	dn17b#L005	52671169	1943371	315580	2.1	52047
dn17b	cornell2017	hapmap3	598	dn17b#L05-6	34874348	646077	81832	1.6	15633
dn17b	cornell2017	hapmap3	598	dn17b#L061F	37362811	887326	190188	2	19837
dn17b	cornell2017	hapmap3	598	dn17b#K514	37569959	1493407	184591	1.8	31247
dn17b	cornell2017	hapmap3	598	dn17b#KP3130	28131819	933480	100119	1.6	17581
dn17b	cornell2017	hapmap3	598	dn17b#68122	66793941	3123806	718326	3	60818
dn17b	cornell2017	hapmap3	598	dn17b#680	22722738	583784	57753	1.4	9991
dn17b	cornell2017	hapmap3	598	dn17b#619	21999907	587893	66368	1.4	10857
dn17b	cornell2017	hapmap3	598	dn17b#624	51405859	1576828	239250	2.1	39881
dn17b	cornell2017	hapmap3	598	dn17b#5707	24689792	823235	91472	1.5	14590
dn17b	cornell2017	hapmap3	598	dn17b#5032	31801343	1092719	142386	1.8	19565
dn17b	cornell2017	hapmap3	598	dn17b#C103	78747921	2509445	1579694	3.5	54692
dn17b	cornell2017	hapmap3	598	dn17b#C13	59645445	2989213	805899	3.6	53839
dn17b	cornell2017	hapmap3	598	dn17b#C521	69896723	2602046	672830	2.6	63575
dn17b	cornell2017	hapmap3	598	dn17b#C8605-2	50372018	1069786	378530	2	30160
dn17b	cornell2017	hapmap3	598	dn17b#BS110	16725975	168824	17743	1.3	3293
dn17b	cornell2017	hapmap3	598	dn17b#BT1	64670996	2902301	898009	3.9	44380
dn17b	cornell2017	hapmap3	598	dn17b#LH119	27116317	160687	35701	1.5	2469
dn17b	cornell2017	hapmap3	598	dn17b#LH74	72813498	1024158	365383	3.1	20047
dn17b	cornell2017	hapmap3	598	dn17b#L139	23579840	684792	70308	1.5	10678
dn17b	cornell2017	hapmap3	598	dn17b#L127	27708574	827956	116021	1.6	13522
dn17b	cornell2017	hapmap3	598	dn17b#L105	53432398	1513125	734478	2.2	39771
dn17b	cornell2017	hapmap3	598	dn17b#LD61	20543657	562812	42187	1.4	10210
dn17b	cornell2017	hapmap3	598	dn17b#L473	55984974	2295011	375403	2.4	53127
dn17b	cornell2017	hapmap3	598	dn17b#LH145	27055394	642847	64412	1.5	11987
dn17b	cornell2017	hapmap3	598	dn17b#3189	24282631	437430	33635	1.3	8794
dn17b	cornell2017	hapmap3	598	dn17b#2FACC	31961511	507022	99343	1.8	10480
dn17b	cornell2017	hapmap3	598	dn17b#20564	45948206	1905017	305768	2.1	44312
dn17b	cornell2017	hapmap3	598	dn17b#2005	67529652	1768790	1069383	2.5	52718
dn17b	cornell2017	hapmap3	598	dn17b#29MIBZ2	43226511	1433617	329608	2.8	25203
dn17b	cornell2017	hapmap3	598	dn17b#20837	16725174	375680	32200	1.2	6590
dn17b	cornell2017	hapmap3	598	dn17b#20762	17779363	397061	33385	1.3	6667
dn17b	cornell2017	hapmap3	598	dn17b#78004	27325082	256914	34985	1.4	5549
dn17b	cornell2017	hapmap3	598	dn17b#7884	46044846	2040330	461849	2.8	38296
dn17b	cornell2017	hapmap3	598	dn17b#757	54903037	2165894	457483	2.6	39420
dn17b	cornell2017	hapmap3	598	dn17b#75-364	34179262	1488843	218089	2.1	28411
dn17b	cornell2017	hapmap3	598	dn17b#77	22028382	537414	40667	1.3	10224
dn17b	cornell2017	hapmap3	598	dn17b#779	29579046	836042	122992	1.6	15695
dn17b	cornell2017	hapmap3	598	dn17b#B8	25998607	1231739	176999	1.7	30290
dn17b	cornell2017	hapmap3	598	dn17b#B7	23316937	1110683	179938	1.7	23273
dn17b	cornell2017	hapmap3	598	dn17b#B76	34502266	1218441	206679	2	23281
dn17b	cornell2017	hapmap3	598	dn17b#B73	124327752	94387	116953	3.1	4705
dn17b	cornell2017	hapmap3	598	dn17b#BCC03	49087928	2251224	415785	2.1	46235
dn17b	cornell2017	hapmap3	598	dn17b#BC4B	62208963	1545146	385070	2.7	32678
dn17b	cornell2017	hapmap3	598	dn17b#B97	21842349	624172	54787	1.4	11417
dn17b	cornell2017	hapmap3	598	dn17b#707	49025615	2466804	429732	2.4	49744
dn17b	cornell2017	hapmap3	598	dn17b#140	23903189	771178	72167	1.5	14092
dn17b	cornell2017	hapmap3	598	dn17b#BM	27229109	865093	82468	1.5	17363
dn17b	cornell2017	hapmap3	598	dn17b#H2	19385312	412329	47732	1.4	8067
dn17b	cornell2017	hapmap3	598	dn17b#H66-6	60489771	1419596	1038083	2.6	36113
dn17b	cornell2017	hapmap3	598	dn17b#H114	58162537	2272044	500766	2.6	43155
dn17b	cornell2017	hapmap3	598	dn17b#H21	61648806	3212907	754682	3.1	53225
dn17b	cornell2017	hapmap3	598	dn17b#GY3	57380780	1625740	330008	2.3	37149
dn17b	cornell2017	hapmap3	598	dn17b#H105W	28928273	822496	148404	1.8	25239
dn17b	cornell2017	hapmap3	598	dn17b#HB8229	21280984	413480	35031	1.3	11673
dn17b	cornell2017	hapmap3	598	dn17b#3514	23704397	643368	76601	1.5	10907
dn17b	cornell2017	hapmap3	598	dn17b#3IBZ2	22949954	670477	80943	1.5	10407
dn17b	cornell2017	hapmap3	598	dn17b#4003	32082126	1103799	120346	1.7	21935
dn17b	cornell2017	hapmap3	598	dn17b#32	54631940	1215056	303234	2.6	25034
dn17b	cornell2017	hapmap3	598	dn17b#3335	27975487	598923	52383	1.4	12451
dn17b	cornell2017	hapmap3	598	dn17b#3489a	45810326	984787	334933	1.8	28216
dn17b	cornell2017	hapmap3	598	dn17b#LH82	42149518	1629988	353655	2.6	29297
dn17b	cornell2017	hapmap3	598	dn17b#Lo1067	36972800	1200336	184873	1.8	22190
dn17b	cornell2017	hapmap3	598	dn17b#411	14380899	1965206	317969	4.1	16946
dn17b	cornell2017	hapmap3	598	dn17b#433-7	28396121	705742	77996	1.4	15904
dn17b	cornell2017	hapmap3	598	dn17b#79028	62434728	2684627	797594	3.3	47415
dn17b	cornell2017	hapmap3	598	dn17b#7903E	21801041	331748	34393	1.4	7039
dn17b	cornell2017	hapmap3	598	dn17b#LH156	52736250	2189404	362249	2.4	46679
dn17b	cornell2017	hapmap3	598	dn17b#B4	19385283	677890	75270	1.7	9566
dn17b	cornell2017	hapmap3	598	dn17b#B37	29832759	718125	89446	1.7	13217
dn17b	cornell2017	hapmap3	598	dn17b#B102	51417843	2429412	476512	2.5	42241
dn17b	cornell2017	hapmap3	598	dn17b#B14	19242153	266258	27041	1.3	4939
dn17b	cornell2017	hapmap3	598	dn17b#B09	18123756	258064	19515	1.2	4756
dn17b	cornell2017	hapmap3	598	dn17b#Ay3566	52678709	1479317	247435	2.1	37833
dn17b	cornell2017	hapmap3	598	dn17b#Ay420	73734834	2764856	542850	2.6	72914
dn17b	cornell2017	hapmap3	598	dn17b#LH160	28010381	711568	78438	1.5	13997
dn17b	cornell2017	hapmap3	598	dn17b#LH85	20779481	664312	69455	1.5	9500
dn17b	cornell2017	hapmap3	598	dn17b#LH193	33097222	273582	98432	1.6	6421
dn17b	cornell2017	hapmap3	598	dn17b#IBC2	30604130	944692	100147	1.6	21156
dn17b	cornell2017	hapmap3	598	dn17b#Hda-5	21303613	409227	56591	1.3	9288
dn17b	cornell2017	hapmap3	598	dn17b#J8606	27042651	839003	103701	1.6	13780
dn17b	cornell2017	hapmap3	598	dn17b#HD568	37555721	1179136	240637	2.3	20508
dn17b	cornell2017	hapmap3	598	dn17b#HBAI	15031418	299309	20925	1.2	4724
dn17b	cornell2017	hapmap3	598	dn17b#HHe01	66740287	2917052	890746	2.5	62385
dn17b	cornell2017	hapmap3	598	dn17b#LH196	22740982	103519	19174	1.4	1873
dn17b	cornell2017	hapmap3	598	dn17b#75-14gao	19508315	553538	44648	1.4	9040
dn17b	cornell2017	hapmap3	598	dn17b#Lx9801	45800134	1948888	515130	2.7	35789
dn17b	cornell2017	hapmap3	598	dn17b#K14	39117021	1485767	422781	2.3	28423
dn17b	cornell2017	hapmap3	598	dn17b#ND246	40556219	1356152	623988	2.5	29265
dn17b	cornell2017	hapmap3	598	dn17b#N42	87534346	2598570	636739	3.1	52399
dn17b	cornell2017	hapmap3	598	dn17b#N192	29179040	912747	80305	1.5	16102
dn17b	cornell2017	hapmap3	598	dn17b#MP	61392720	1703914	552521	2.6	36954
dn17b	cornell2017	hapmap3	598	dn17b#Max	39785899	1183288	161553	1.8	28650
dn17b	cornell2017	hapmap3	598	dn17b#equn4	30410711	883863	89482	1.5	17574
dn17b	cornell2017	hapmap3	598	dn17b#ziduosui	31667492	1228778	128764	1.7	25927
dn17b	cornell2017	hapmap3	598	dn17b#NN14B	40324772	1524983	207779	1.9	30153
dn17b	cornell2017	hapmap3	598	dn17b#NQ508	36405737	1210583	185663	1.9	24877
dn17b	cornell2017	hapmap3	598	dn17b#XF197	50269749	1904296	257334	2	42441
dn17b	cornell2017	hapmap3	598	dn17b#XF134	59540508	2435150	385294	2.3	58097
dn17b	cornell2017	hapmap3	598	dn17b#XF117	17802772	274016	42490	1.3	4784
dn17b	cornell2017	hapmap3	598	dn17b#X314	24810291	450078	69338	1.7	8156
dn17b	cornell2017	hapmap3	598	dn17b#WN11H	33206184	985880	123127	1.8	19602
dn17b	cornell2017	hapmap3	598	dn17b#WIL900	74067249	3267745	1000460	3.6	55787
dn17b	cornell2017	hapmap3	598	dn17b#PHR58	36213693	1243423	184823	2	24534
dn17b	cornell2017	hapmap3	598	dn17b#XF27	15332693	320827	19804	1.2	4997
dn17b	cornell2017	hapmap3	598	dn17b#XF223	84318729	4033200	902662	3.4	86378
dn17b	cornell2017	hapmap3	598	dn17b#liao5110	15676001	231499	17643	1.2	4085
dn17b	cornell2017	hapmap3	598	dn17b#liao7794	36558837	679849	103305	1.7	15468
dn17b	cornell2017	hapmap3	598	dn17b#PHV53	30912471	887987	87057	1.5	16722
dn17b	cornell2017	hapmap3	598	dn17b#PHK35	51539381	1177388	334023	2.9	21210
dn17b	cornell2017	hapmap3	598	dn17b#liao2202	53227939	2386837	538043	2.7	41059
dn17b	cornell2017	hapmap3	598	dn17b#liao2204	24135141	782052	78341	1.5	20417
dn17b	cornell2017	hapmap3	598	dn17b#lan766-4-2	16189436	325740	26424	1.3	5460
dn17b	cornell2017	hapmap3	598	dn17b#liao4271	53447556	2297223	542175	2.8	39339
dn17b	cornell2017	hapmap3	598	dn17b#PHN66	42124341	1383404	212082	1.9	27883
dn17b	cornell2017	hapmap3	598	dn17b#PHT22	25411248	661645	73451	1.5	13072
dn17b	cornell2017	hapmap3	598	dn17b#PHT69	27910584	612611	55188	1.4	11029
dn17b	cornell2017	hapmap3	598	dn17b#PHN29	12578031	1276423	158585	2.1	37241
dn17b	cornell2017	hapmap3	598	dn17b#PHR25	20934792	439474	40867	1.4	7922
dn17b	cornell2017	hapmap3	598	dn17b#zhonger02	23243125	403032	48916	1.5	7659
dn17b	cornell2017	hapmap3	598	dn17b#PHNV9	17465209	281621	25149	1.3	4506
dn17b	cornell2017	hapmap3	598	dn17b#PHN73	67563191	2935330	848833	3.8	46567
dn17b	cornell2017	hapmap3	598	dn17b#PHPR5	24602866	659676	97407	1.7	9414
dn17b	cornell2017	hapmap3	598	dn17b#PHP76	37663567	1305524	254949	1.9	22881
dn17b	cornell2017	hapmap3	598	dn17b#zhong128	46657139	1729275	224612	1.9	39674
dn17b	cornell2017	hapmap3	598	dn17b#PHP02	36590499	839777	287965	1.7	19895
dn17b	cornell2017	hapmap3	598	dn17b#zhongxi042	21854362	632098	52383	1.4	11892
dn17b	cornell2017	hapmap3	598	dn17b#PHW17	49976976	893201	188368	2.1	18400
dn17b	cornell2017	hapmap3	598	dn17b#W8304	23705000	94630	30024	1.4	2559
dn17b	cornell2017	hapmap3	598	dn17b#W8555	25268141	177380	31442	1.4	3289
dn17b	cornell2017	hapmap3	598	dn17b#W64A	20282965	461014	58563	1.5	8577
dn17b	cornell2017	hapmap3	598	dn17b#W668	70421268	2491610	564794	2.8	62535
dn17b	cornell2017	hapmap3	598	dn17b#W967	34674747	1185352	122047	1.7	25187
dn17b	cornell2017	hapmap3	598	dn17b#W968	22243014	707921	70004	1.5	13084
dn17b	cornell2017	hapmap3	598	dn17b#W966	22374598	576465	50440	1.4	9776
dn17b	cornell2017	hapmap3	598	dn17b#PHT55	22092261	561011	50781	1.4	17314
dn17b	cornell2017	hapmap3	598	dn17b#W969	29445608	987148	102052	1.6	18058
dn17b	cornell2017	hapmap3	598	dn17b#W9706	56130593	2703412	530215	2.5	52395
dn17b	cornell2017	hapmap3	598	dn17b#luyuan133	49075186	2027625	532022	2.4	40096
dn17b	cornell2017	hapmap3	598	dn17b#PHK93	33114029	1098363	201274	2.1	19790
dn17b	cornell2017	hapmap3	598	dn17b#PN2-8	36350886	846763	210534	2.4	16994
dn17b	cornell2017	hapmap3	598	dn17b#PN2	35924320	1287658	147768	1.8	26344
dn17b	cornell2017	hapmap3	598	dn17b#longkang1	55503788	2208770	496723	2.2	46841
dn17b	cornell2017	hapmap3	598	dn17b#lu65	83425083	3575350	780850	3.2	84171
dn17b	cornell2017	hapmap3	598	dn17b#luosu3	60778180	2957452	662316	2.8	60214
dn17b	cornell2017	hapmap3	598	dn17b#yue39-4	57451444	2672311	613799	2.6	55232
dn17b	cornell2017	hapmap3	598	dn17b#yue89A12-1	26810091	939918	109095	1.6	16464
dn17b	cornell2017	hapmap3	598	dn17b#yue89E4-2	66433597	2932892	560542	2.7	67364
dn17b	cornell2017	hapmap3	598	dn17b#PHG35	43921934	1870886	358418	2.3	61489
dn17b	cornell2017	hapmap3	598	dn17b#yun147	39865187	1600687	221566	1.9	37924
dn17b	cornell2017	hapmap3	598	dn17b#zhangjin6	20127044	447954	30812	1.3	7290
dn17b	cornell2017	hapmap3	598	dn17b#zhangxi28	24211387	656847	74480	1.4	18166
dn17b	cornell2017	hapmap3	598	dn17b#zhen367	16918302	443279	32549	1.3	7138
dn17b	cornell2017	hapmap3	598	dn17b#zheng653	20641220	550103	63937	1.4	8861
dn17b	cornell2017	hapmap3	598	dn17b#PHK42	18906827	356081	24648	1.2	8710
dn17b	cornell2017	hapmap3	598	dn17b#mei68113	55108305	1850651	281370	2.2	47756
dn17b	cornell2017	hapmap3	598	dn17b#PHR30	29664519	728070	98231	1.6	13178
dn17b	cornell2017	hapmap3	598	dn17b#ziyu3	50385452	2134611	401088	2.4	40059
dn17b	cornell2017	hapmap3	598	dn17b#W172	31480428	538063	78743	1.7	12095
dn17b	cornell2017	hapmap3	598	dn17b#Va35	40061313	1349690	173755	1.9	27055
dn17b	cornell2017	hapmap3	598	dn17b#W238	38328143	1374228	195375	1.9	28001
dn17b	cornell2017	hapmap3	598	dn17b#W222	36618147	1213385	176012	1.8	23292
dn17b	cornell2017	hapmap3	598	dn17b#W2H03	38444677	1424859	260785	1.8	35032
dn17b	cornell2017	hapmap3	598	dn17b#W23	43177802	1772944	317228	2.3	32182
dn17b	cornell2017	hapmap3	598	dn17b#W344	72195096	3200509	731786	3	62422
dn17b	cornell2017	hapmap3	598	dn17b#mu4	26898101	906375	79879	1.5	16007
dn17b	cornell2017	hapmap3	598	dn17b#yuanwu05	44807668	2158452	361819	2.2	41912
dn17b	cornell2017	hapmap3	598	dn17b#yuanwu02	33658506	1144996	127137	1.6	22202
dn17b	cornell2017	hapmap3	598	dn17b#ys06	70001467	2284443	718982	3.8	37555
dn17b	cornell2017	hapmap3	598	dn17b#yi67	18656828	502866	44681	1.4	7243
dn17b	cornell2017	hapmap3	598	dn17b#yi49	33357197	876569	103465	1.6	19207
dn17b	cornell2017	hapmap3	598	dn17b#yi12	38984436	1255271	223100	1.9	29261
dn17b	cornell2017	hapmap3	598	dn17b#ye8001	28629267	689784	83923	1.5	13490
dn17b	cornell2017	hapmap3	598	dn17b#yan812	58020068	1142370	227606	2.3	29127
dn17b	cornell2017	hapmap3	598	dn17b#PHM81	30754485	1039908	175576	1.8	16402
dn17b	cornell2017	hapmap3	598	dn17b#ji432	47922745	2270154	309197	2.1	49540
dn17b	cornell2017	hapmap3	598	dn17b#ji53	63077076	3097259	742131	3	52199
dn17b	cornell2017	hapmap3	598	dn17b#he344	37145072	1224726	330399	2	25351
dn17b	cornell2017	hapmap3	598	dn17b#hua160	23790240	788497	106178	1.7	14453
dn17b	cornell2017	hapmap3	598	dn17b#huangchanga	123603	94	0	0.7	2
dn17b	cornell2017	hapmap3	598	dn17b#huangchangb	38394859	1644300	335006	2.6	27770
dn17b	cornell2017	hapmap3	598	dn17b#fu96	14862931	304360	21406	1.2	5726
dn17b	cornell2017	hapmap3	598	dn17b#gan41	51846690	2467475	523990	2.7	42276
dn17b	cornell2017	hapmap3	598	dn17b#guangyou5	30487645	1092572	115924	1.6	20495
dn17b	cornell2017	hapmap3	598	dn17b#han49	30832973	1021172	98398	1.6	20887
dn17b	cornell2017	hapmap3	598	dn17b#shuang741	70331239	3779722	909573	3.2	64680
dn17b	cornell2017	hapmap3	598	dn17b#MDF-13D	31568811	904350	98799	1.6	19401
dn17b	cornell2017	hapmap3	598	dn17b#MM402A	26757657	812647	90819	1.5	13477
dn17b	cornell2017	hapmap3	598	dn17b#PHWG5	19555322	433631	38854	1.3	6901
dn17b	cornell2017	hapmap3	598	dn17b#T24	68000371	2823426	541755	2.7	66030
dn17b	cornell2017	hapmap3	598	dn17b#Timpunia-1	58867522	2562196	718759	3	44764
